ano_campeonato,data,time_visitante,gols_visitante
2019,2019-12-01,São Paulo,0
2019,2019-09-21,São Paulo,2
2019,2019-10-17,São Paulo,0
2019,2019-10-10,São Paulo,0
2019,2019-09-29,São Paulo,0
2019,2019-10-30,São Paulo,0
2019,2019-07-28,São Paulo,2
2019,2019-11-03,São Paulo,3
2019,2019-08-22,São Paulo,1
2019,2019-09-08,São Paulo,0
2019,2019-08-25,São Paulo,0
2019,2019-11-24,São Paulo,1
2019,2019-05-13,São Paulo,1
2019,2019-06-14,São Paulo,1
2019,2019-12-08,São Paulo,2
2019,2019-06-09,São Paulo,0
2019,2019-05-02,São Paulo,2
2019,2019-05-27,São Paulo,0
2019,2019-11-16,São Paulo,1
2006,2006-09-03,São Paulo,0
2006,2006-12-02,São Paulo,0
2006,2006-05-06,São Paulo,0
2006,2006-07-12,São Paulo,1
2006,2006-07-23,São Paulo,1
2006,2006-08-23,São Paulo,1
2006,2006-09-20,São Paulo,1
2006,2006-10-22,São Paulo,1
2006,2006-11-01,São Paulo,1
2006,2006-11-26,São Paulo,1
2006,2006-05-24,São Paulo,1
2006,2006-05-24,São Paulo,1
2006,2006-08-30,São Paulo,2
2006,2006-09-03,São Paulo,2
2006,2006-11-08,São Paulo,2
2006,2006-04-16,São Paulo,2
2006,2006-08-13,São Paulo,3
2006,2006-10-05,São Paulo,3
2006,2006-05-14,São Paulo,3
2017,2017-07-16,São Paulo,0
2017,2017-08-27,São Paulo,2
2017,2017-08-06,São Paulo,1
2017,2017-06-22,São Paulo,0
2017,2017-11-15,São Paulo,0
2017,2017-06-11,São Paulo,2
2017,2017-11-04,São Paulo,1
2017,2017-11-12,São Paulo,1
2017,2017-07-02,São Paulo,0
2017,2017-09-17,São Paulo,2
2017,2017-07-10,São Paulo,2
2017,2017-10-12,São Paulo,0
2017,2017-06-04,São Paulo,0
2017,2017-08-20,São Paulo,1
2017,2017-10-18,São Paulo,1
2017,2017-07-29,São Paulo,4
2017,2017-06-15,São Paulo,0
2017,2017-05-14,São Paulo,0
2017,2017-11-26,São Paulo,2
2005,2005-08-28,São Paulo,4
2005,2005-07-28,São Paulo,0
2005,2005-10-30,São Paulo,1
2005,2005-10-02,São Paulo,1
2005,2005-10-16,São Paulo,6
2005,2005-05-08,São Paulo,5
2005,2005-09-11,São Paulo,4
2005,2005-09-22,São Paulo,3
2005,2005-07-31,São Paulo,1
2005,2005-11-12,São Paulo,1
2005,2005-07-17,São Paulo,1
2005,2005-04-24,São Paulo,1
2005,2005-06-12,São Paulo,2
2005,2005-10-20,São Paulo,0
2005,2005-10-06,São Paulo,0
2005,2005-05-22,São Paulo,1
2005,2005-07-21,São Paulo,3
2005,2005-08-11,São Paulo,1
2005,2005-08-20,São Paulo,2
2020,2021-02-15,São Paulo,2
2020,2021-02-23,São Paulo,0
2020,2020-11-28,São Paulo,3
2020,2020-10-11,São Paulo,2
2020,2020-12-13,São Paulo,0
2020,2020-10-04,São Paulo,1
2020,2021-01-17,São Paulo,1
2020,2020-09-04,São Paulo,0
2020,2020-08-16,São Paulo,1
2020,2020-11-25,São Paulo,1
2020,2020-11-14,São Paulo,3
2020,2020-12-03,São Paulo,3
2020,2020-12-27,São Paulo,2
2020,2021-01-31,São Paulo,1
2020,2020-08-24,São Paulo,1
2020,2020-09-27,São Paulo,1
2020,2021-01-07,São Paulo,2
2020,2020-11-01,São Paulo,4
2020,2020-09-13,São Paulo,2
2015,2015-09-13,São Paulo,2
2015,2015-09-20,São Paulo,1
2015,2015-11-08,São Paulo,1
2015,2015-08-23,São Paulo,1
2015,2015-12-06,São Paulo,1
2015,2015-06-28,São Paulo,0
2015,2015-09-10,São Paulo,0
2015,2015-10-15,São Paulo,0
2015,2015-06-13,São Paulo,1
2015,2015-11-22,São Paulo,1
2015,2015-10-25,São Paulo,2
2015,2015-05-17,São Paulo,0
2015,2015-07-30,São Paulo,1
2015,2015-07-02,São Paulo,1
2015,2015-09-03,São Paulo,0
2015,2015-07-19,São Paulo,0
2015,2015-05-31,São Paulo,0
2015,2015-07-09,São Paulo,4
2015,2015-08-13,São Paulo,2
2003,2003-05-25,São Paulo,2
2003,2003-06-29,São Paulo,1
2003,2003-09-25,São Paulo,2
2003,2003-08-07,São Paulo,1
2003,2003-10-09,São Paulo,0
2003,2003-07-27,São Paulo,1
2003,2003-08-21,São Paulo,2
2003,2003-10-18,São Paulo,1
2003,2003-03-30,São Paulo,2
2003,2003-06-01,São Paulo,2
2003,2003-07-13,São Paulo,3
2003,2003-06-15,São Paulo,2
2003,2003-07-10,São Paulo,2
2003,2003-07-20,São Paulo,2
2003,2003-04-27,São Paulo,2
2003,2003-05-11,São Paulo,2
2003,2003-04-13,São Paulo,1
2003,2003-08-24,São Paulo,2
2003,2003-09-14,São Paulo,2
2008,2008-08-17,São Paulo,0
2008,2008-06-29,São Paulo,1
2008,2008-06-01,São Paulo,0
2008,2008-08-06,São Paulo,1
2008,2008-05-18,São Paulo,1
2008,2008-09-21,São Paulo,0
2008,2008-07-23,São Paulo,0
2008,2008-07-30,São Paulo,1
2008,2008-06-14,São Paulo,4
2008,2008-07-09,São Paulo,1
2008,2008-12-07,São Paulo,1
2008,2008-08-24,São Paulo,2
2008,2008-07-16,São Paulo,3
2008,2008-09-03,São Paulo,1
2008,2008-11-23,São Paulo,2
2008,2008-10-29,São Paulo,2
2008,2008-10-19,São Paulo,2
2008,2008-11-08,São Paulo,3
2008,2008-10-04,São Paulo,3
2016,2016-07-24,São Paulo,0
2016,2016-09-08,São Paulo,1
2016,2016-06-26,São Paulo,0
2016,2016-10-18,São Paulo,2
2016,2016-10-31,São Paulo,0
2016,2016-11-20,São Paulo,0
